Fetch Events | Start: 2026-04-14 17:29:12.659259 | End: 2026-04-14 17:31:35.818627 | Duration: 0:02:23.159368 | Code: 0
Merge Files | Start: 2026-04-14 17:31:35.818627 | End: 2026-04-14 17:31:38.535708 | Duration: 0:00:02.717081 | Code: 0
ERROR: 'check_file'
Fetch Events | Start: 2026-04-14 17:33:21.468517 | End: 2026-04-14 17:38:04.099948 | Duration: 0:04:42.631431 | Code: 0
Merge Files | Start: 2026-04-14 17:38:04.103960 | End: 2026-04-14 17:38:06.149061 | Duration: 0:00:02.045101 | Code: 0
Sessionize | Start: 2026-04-14 17:38:06.150121 | End: 2026-04-14 17:38:07.559260 | Duration: 0:00:01.409139 | Code: 0
Generate Reports | Start: 2026-04-14 17:38:07.562275 | End: 2026-04-14 17:38:08.999353 | Duration: 0:00:01.437078 | Code: 0
Generate Reports | Start: 2026-04-14 17:38:09.001350 | End: 2026-04-14 17:38:22.631151 | Duration: 0:00:13.629801 | Code: 0
Generate Reports | Start: 2026-04-14 17:38:22.633263 | End: 2026-04-14 17:38:32.494000 | Duration: 0:00:09.860737 | Code: 0
Generate Reports | Start: 2026-04-14 17:38:32.509365 | End: 2026-04-14 17:38:33.677660 | Duration: 0:00:01.168295 | Code: 0
Generate Reports | Start: 2026-04-14 17:38:33.682864 | End: 2026-04-14 17:38:34.437503 | Duration: 0:00:00.754639 | Code: 0
Fetch Events | Start: 2026-04-15 10:33:54.620659 | End: 2026-04-15 10:40:52.269741 | Duration: 0:06:57.649082 | Code: 0
Merge Files | Start: 2026-04-15 10:40:52.279313 | End: 2026-04-15 10:40:53.010576 | Duration: 0:00:00.731263 | Code: 1
Fetch Events | Start: 2026-04-15 12:57:01.352761 | End: 2026-04-15 12:59:21.914431 | Duration: 0:02:20.561670 | Code: 0
Fetch Events | Start: 2026-04-15 12:59:21.914431 | End: 2026-04-15 13:01:06.563904 | Duration: 0:01:44.649473 | Code: 0
Merge Files | Start: 2026-04-15 13:01:06.565724 | End: 2026-04-15 13:01:09.663540 | Duration: 0:00:03.097816 | Code: 0
Sessionize | Start: 2026-04-15 13:01:09.665544 | End: 2026-04-15 13:01:11.413337 | Duration: 0:00:01.747793 | Code: 0
Generate Reports | Start: 2026-04-15 13:01:11.429185 | End: 2026-04-15 13:01:13.120142 | Duration: 0:00:01.690957 | Code: 0
Generate Reports | Start: 2026-04-15 13:01:13.122984 | End: 2026-04-15 13:01:13.192988 | Duration: 0:00:00.070004 | Code: 2
Fetch Events | Start: 2026-04-15 14:17:01.402468 | End: 2026-04-15 14:19:22.634002 | Duration: 0:02:21.231534 | Code: 0
Fetch Events | Start: 2026-04-15 14:19:22.634002 | End: 2026-04-15 14:21:04.989049 | Duration: 0:01:42.355047 | Code: 0
Merge Files | Start: 2026-04-15 14:21:04.989828 | End: 2026-04-15 14:21:07.631358 | Duration: 0:00:02.641530 | Code: 0
Sessionize | Start: 2026-04-15 14:21:07.631358 | End: 2026-04-15 14:21:09.431680 | Duration: 0:00:01.800322 | Code: 0
Generate Reports | Start: 2026-04-15 14:21:09.431680 | End: 2026-04-15 14:21:11.022051 | Duration: 0:00:01.590371 | Code: 0
Generate Reports | Start: 2026-04-15 14:21:11.026265 | End: 2026-04-15 14:21:18.385933 | Duration: 0:00:07.359668 | Code: 0
Generate Reports | Start: 2026-04-15 14:21:18.388050 | End: 2026-04-15 14:21:18.435692 | Duration: 0:00:00.047642 | Code: 2
Fetch Events | Start: 2026-04-15 14:24:08.375694 | End: 2026-04-15 14:26:22.561000 | Duration: 0:02:14.185306 | Code: 0
Fetch Events | Start: 2026-04-15 14:26:22.561000 | End: 2026-04-15 14:28:17.886828 | Duration: 0:01:55.325828 | Code: 0
Merge Files | Start: 2026-04-15 14:28:17.888834 | End: 2026-04-15 14:28:20.683710 | Duration: 0:00:02.794876 | Code: 0
Sessionize | Start: 2026-04-15 14:28:20.683710 | End: 2026-04-15 14:28:22.568798 | Duration: 0:00:01.885088 | Code: 0
Generate Reports | Start: 2026-04-15 14:28:22.568798 | End: 2026-04-15 14:28:24.137365 | Duration: 0:00:01.568567 | Code: 0
Generate Reports | Start: 2026-04-15 14:28:24.137365 | End: 2026-04-15 14:28:31.267560 | Duration: 0:00:07.130195 | Code: 0
Generate Reports | Start: 2026-04-15 14:28:31.267560 | End: 2026-04-15 14:28:37.521991 | Duration: 0:00:06.254431 | Code: 0
Generate Reports | Start: 2026-04-15 14:28:37.521991 | End: 2026-04-15 14:28:38.705696 | Duration: 0:00:01.183705 | Code: 0
Generate Reports | Start: 2026-04-15 14:28:38.705696 | End: 2026-04-15 14:28:38.766988 | Duration: 0:00:00.061292 | Code: 2
Fetch Events | Start: 2026-04-15 14:29:28.437782 | End: 2026-04-15 14:32:32.842802 | Duration: 0:03:04.405020 | Code: 0
Fetch Events | Start: 2026-04-15 14:32:32.842802 | End: 2026-04-15 14:34:19.621368 | Duration: 0:01:46.778566 | Code: 0
Merge Files | Start: 2026-04-15 14:34:19.623381 | End: 2026-04-15 14:34:24.866695 | Duration: 0:00:05.243314 | Code: 0
Sessionize | Start: 2026-04-15 14:34:24.866695 | End: 2026-04-15 14:34:27.735082 | Duration: 0:00:02.868387 | Code: 0
Generate Reports | Start: 2026-04-15 14:34:27.735082 | End: 2026-04-15 14:34:30.620556 | Duration: 0:00:02.885474 | Code: 0
Generate Reports | Start: 2026-04-15 14:34:30.620556 | End: 2026-04-15 14:34:42.535842 | Duration: 0:00:11.915286 | Code: 0
Generate Reports | Start: 2026-04-15 14:34:42.535842 | End: 2026-04-15 14:34:55.304137 | Duration: 0:00:12.768295 | Code: 0
Generate Reports | Start: 2026-04-15 14:34:55.304137 | End: 2026-04-15 14:34:57.339798 | Duration: 0:00:02.035661 | Code: 0
Generate Reports | Start: 2026-04-15 14:34:57.339798 | End: 2026-04-15 14:34:58.817051 | Duration: 0:00:01.477253 | Code: 0
Fetch Events | Start: 2026-04-17 14:29:51.708878 | End: 2026-04-17 14:33:25.376143 | Duration: 0:03:33.667265 | Code: 0
Fetch Events | Start: 2026-04-17 14:42:50.529722 | End: 2026-04-17 14:46:29.106600 | Duration: 0:03:38.576878 | Code: 0
Fetch Events | Start: 2026-04-17 14:46:29.106600 | End: 2026-04-17 14:46:38.150940 | Duration: 0:00:09.044340 | Code: 0
Merge Files | Start: 2026-04-17 14:46:38.154337 | End: 2026-04-17 14:46:43.938578 | Duration: 0:00:05.784241 | Code: 0
Sessionize | Start: 2026-04-17 14:46:43.938578 | End: 2026-04-17 14:46:49.388358 | Duration: 0:00:05.449780 | Code: 0
Generate Reports | Start: 2026-04-17 14:46:49.388358 | End: 2026-04-17 14:46:52.799325 | Duration: 0:00:03.410967 | Code: 0
Generate Reports | Start: 2026-04-17 14:46:52.799325 | End: 2026-04-17 14:47:05.191735 | Duration: 0:00:12.392410 | Code: 0
Generate Reports | Start: 2026-04-17 14:47:05.191735 | End: 2026-04-17 14:47:17.524105 | Duration: 0:00:12.332370 | Code: 0
Generate Reports | Start: 2026-04-17 14:47:17.524105 | End: 2026-04-17 14:47:19.672652 | Duration: 0:00:02.148547 | Code: 0
